dead_reakoing_mean_dist,dead_reakoing_mean_step,dead_reakoing_percent,fake_location,goal_location,metric-0,metric-1,metric-2,metric-3,real_location,calculation_time_without_oracle,execute_time_without_oracle,final_location_without_oracle,finish_covariancewithout_oracle,how_far_from_goal_without_oracle,init_covariance,move_base_status_aborted_without_oracle,move_base_status_finish_without_oracle,number_of_replans,started_plan,dead_lenght
8.32823692995782,68.16,0.0,"(-4.673552850870819, -3.995844040668095)","(2.2230000000000008, 2.298)",366.0,31163.959822222216,1666.831974451303,,"(-4.276999999999999, -2.802)",,,,,,,,,,,
5.160732857870528,23.83333333333333,0.0,"(-1.0753138958663988, -3.4117986954148454)","(1.923000000000001, 1.298)",643.0,9118.087288888888,1894.7488043107473,,"(0.7730000000000006, -3.3520000000000003)",,,,,,,,,,,
6.1694466007851565,5.566666666666666,0.0,"(0.25258133055883736, -4.5263157043842925)","(-1.0269999999999997, 1.298)",337.0,4112.185822222223,446.3007234807554,27.668787256217108,"(1.5730000000000004, -4.752000000000001)",,,,,,,,,,,
1.0618524837812149,57.2,0.04733333333333335,"(-3.4415476095386337, -3.773556947798647)","(-2.877, -4.452)",87.0,337.0871555555556,150.9230018649813,5.673447320762758,"(-4.276999999999999, -2.802)",,,,,,,,,,,
4.59273590004121,38.24,0.0013333333333333335,"(1.449020239769085, -1.945102422114977)","(0.6730000000000009, 2.7479999999999993)",698.0,36737.13888888888,2557.6333456254065,17.09572950030757,"(2.673000000000001, -2.152)",,,,,,,,,,,
4.620913795931786,37.806666666666665,0.0,"(2.608469481521216, -3.576736901025801)","(1.4730000000000008, 1.548)",335.0,7648.963955555555,603.1423063024763,12.289971267962013,"(3.5230000000000006, -5.252000000000001)",,,,,,,,,,,
3.276377829588004,6.166666666666668,0.0006666666666666668,"(0.13709541750060739, -3.9428345113460024)","(-2.877, -5.102)",94.0,4146.2588888888895,457.9956910711968,26.505337553056286,"(-0.577, -5.452)",,,,,,,,,,,
3.698738394877123,16.14,0.0,"(0.933025768672465, 0.8142348913834949)","(4.023000000000001, -1.0519999999999996)",264.0,3669.191822222222,1174.7392738850808,15.605712913870699,"(0.42300000000000093, 1.9480000000000004)",,,,,,,,,,,
4.0860811979561165,194.38,0.022000000000000002,"(4.027565547967196, 0.6909240349618997)","(1.423000000000001, -3.202)",0.0,4097.436666666665,3990.847991155397,14.352776250878145,"(3.123, -0.5519999999999996)",,,,,,,,,,,
6.130073829647897,324.48,0.09066666666666666,"(4.580667672674808, -3.4831553117066587)","(-3.627, 0.798)",537.0,47398.20715555557,2099.6035995707143,11.703795408599975,"(4.473, -5.202)",,,,,,,,,,,
3.7403178243895656,52.70666666666666,0.0,"(-1.5800518477066716, -2.1744582530186065)","(-3.977, -0.40200000000000014)",426.0,11817.488888888889,1279.7248843514035,17.043633068681785,"(-2.1769999999999996, -0.8520000000000003)",,,,,,,,,,,
1.4834664916592135,19.12,0.006,"(1.209671339386595, -3.3671538260535785)","(0.8730000000000002, -2.1020000000000003)",0.0,795.9639555555556,216.26741917240082,53.89086337565329,"(2.4730000000000008, -2.8520000000000003)",,,,,,,,,,,
1.6526797585368955,23.54666666666667,0.028,"(2.107580570043196, -3.7321706131485097)","(2.5230000000000006, -4.852)",45.0,437.57048888888886,116.93343919816448,14.818864921926146,"(3.623, -4.952)",,,,,,,,,,,
6.4493767269195255,49.41333333333333,0.0013333333333333335,"(-2.942555154234705, -5.296129709251616)","(-3.4769999999999994, 2.3979999999999997)",260.0,2316.6451555555554,1235.6060500958506,3.4975731416441103,"(-3.5269999999999997, -4.152)",,,,,,,,,,,
3.4404102951616387,72.55333333333333,0.027333333333333338,"(-2.6468512220637583, -3.845381210467317)","(2.2230000000000008, -3.302)",150.0,3394.9902666666667,1141.8041414671213,24.955547341839804,"(-1.0769999999999995, -4.702)",,,,,,,,,,,
1.7334453490749555,27.97333333333333,0.0,"(2.144535254012769, -3.1317515207625277)","(1.8730000000000002, -0.952)",108.0,15986.945066666667,377.044714481236,16.87174182734083,"(0.8730000000000002, -1.6020000000000003)",,,,,,,,,,,
6.129868082403506,20.006666666666668,0.0,"(-1.1011132596596116, -0.3303133847906793)","(4.673000000000001, -1.6020000000000003)",781.0,79189.69906666668,2580.3717187032817,10.51984423624262,"(-2.727, -0.5019999999999998)",,,,,,,,,,,
4.4333123447414815,28.31333333333333,0.0013333333333333335,"(1.174755808323292, 2.9676174644533635)","(-0.7269999999999994, -1.1020000000000003)",729.0,119242.27666666669,1455.925465482371,14.758806505406515,"(1.173000000000001, 1.548)",,,,,,,,,,,
2.027377176474724,625.8866666666668,0.08466666666666665,"(4.5232334301425245, 1.4193082796182468)","(-0.7269999999999994, -2.002)",739.0,78802.82262222221,2048.242240273848,12.216568103928815,"(3.5230000000000006, 2.0980000000000008)",,,,,,,,,,,
4.856949722146351,17.446666666666665,0.0,"(0.4009797200096007, -4.876135406815293)","(-3.4769999999999994, -2.1020000000000003)",264.0,4697.854622222222,948.7183976697916,16.95513279127133,"(-0.3769999999999998, -4.152)",,,,,,,,,,,
1.1425870267978655,5.8133333333333335,0.05666666666666665,"(2.0897801982701347, -3.430327175376992)","(1.1230000000000002, -2.902)",27.0,2276.8330666666666,116.11121904522899,36.372906812148315,"(1.0230000000000006, -2.202)",,,,,,,,,,,
2.629996360095812,29.28,0.0,"(-0.8409474094903322, -4.000975563922419)","(0.6730000000000009, -5.502000000000001)",781.0,8024.5212888888855,3593.1619948046086,10.000741522910092,"(0.6730000000000009, -3.5020000000000002)",,,,,,,,,,,
3.837494459303235,33.486666666666665,0.006,"(-0.8431186337278354, -6.003806492975875)","(-0.5269999999999992, -1.5019999999999998)",111.0,35844.07573333334,134.3325654347613,27.528962483875777,"(-1.0769999999999995, -4.052)",,,,,,,,,,,
